iter	Passed	Remaining
0	1	131
1	2	125
2	3	117
3	4	107
4	5	105
5	6	104
6	7	104
7	8	102
8	10	101
9	11	99
10	12	99
11	14	105
12	16	108
13	17	107
14	18	104
15	19	102
16	20	100
17	21	98
18	22	96
19	23	95
20	24	93
21	26	92
22	27	90
23	31	101
24	33	99
25	34	97
26	35	95
27	36	94
28	38	93
29	39	91
30	40	89
31	41	87
32	43	87
33	45	87
34	46	86
35	47	84
36	49	83
37	51	83
38	53	83
39	55	83
40	57	82
41	57	79
42	58	77
43	59	76
44	60	74
45	61	72
46	62	70
47	63	69
48	65	67
49	66	66
50	67	64
51	69	63
52	70	62
53	72	61
54	72	59
55	73	58
56	75	56
57	76	55
58	77	53
59	78	52
60	79	50
61	80	49
62	81	47
63	82	46
64	86	46
65	87	45
66	88	43
67	89	42
68	90	40
69	92	39
70	93	38
71	94	36
72	95	35
73	96	33
74	97	32
75	99	31
76	101	30
77	102	28
78	103	27
79	104	26
80	105	24
81	106	23
82	107	21
83	108	20
84	109	19
85	110	17
86	111	16
87	115	15
88	117	14
89	118	13
90	119	11
91	120	10
92	121	9
93	122	7
94	123	6
95	124	5
96	126	3
97	127	2
98	131	1
99	132	0
