iter	Passed	Remaining
0	163	162914
1	164	81974
2	165	54975
3	166	41485
4	167	33379
5	168	27984
6	170	24146
7	171	21263
8	172	19022
9	175	17416
10	177	15977
11	179	14745
12	180	13690
13	182	12829
14	183	12042
15	184	11356
16	185	10747
17	187	10207
18	188	9726
19	192	9419
20	193	9021
21	194	8659
22	196	8330
23	197	8023
24	198	7741
25	199	7481
26	200	7241
27	202	7016
28	203	6807
29	206	6669
30	207	6492
31	208	6320
32	210	6158
33	211	6006
34	212	5861
35	213	5726
36	215	5598
37	216	5475
38	217	5360
39	218	5250
40	222	5209
41	224	5115
42	225	5019
43	226	4927
44	227	4837
45	229	4752
46	230	4670
47	231	4592
48	232	4516
49	233	4445
50	237	4426
51	239	4359
52	240	4294
53	241	4230
54	242	4171
55	244	4113
56	245	4057
57	246	4002
58	247	3951
59	249	3901
60	252	3879
61	253	3837
62	254	3791
63	256	3746
64	257	3702
65	258	3660
66	259	3619
67	261	3579
68	262	3540
69	263	3501
70	264	3465
71	268	3461
72	270	3429
73	271	3395
74	272	3361
75	273	3328
76	274	3295
77	276	3272
78	278	3242
79	279	3213
80	283	3213
81	284	3187
82	285	3152
83	286	3125
84	287	3098
85	289	3072
86	290	3047
87	291	3022
88	292	2997
89	294	2973
90	295	2950
91	298	2948
92	300	2927
93	301	2905
94	302	2883
95	303	2861
96	305	2840
97	306	2819
98	307	2799
99	308	2779
100	310	2759
101	313	2758
102	315	2746
103	316	2727
104	317	2709
105	319	2690
106	320	2673
107	321	2655
108	322	2637
109	323	2620
110	325	2603
111	326	2587
112	327	2572
113	328	2556
114	330	2541
115	331	2525
116	332	2507
117	333	2492
118	334	2477
119	335	2463
120	337	2449
121	338	2433
122	341	2433
123	342	2422
124	344	2412
125	345	2399
126	346	2384
127	348	2370
128	349	2357
129	350	2344
130	351	2330
131	352	2317
132	353	2304
133	357	2311
134	358	2300
135	360	2287
136	361	2275
137	362	2263
138	363	2252
139	364	2240
140	365	2228
141	366	2216
142	367	2204
143	369	2193
144	372	2197
145	373	2186
146	374	2175
147	376	2164
148	377	2154
149	378	2143
150	379	2133
151	380	2123
152	381	2112
153	382	2102
154	383	2092
155	386	2091
156	387	2081
157	388	2072
158	389	2062
159	391	2053
160	391	2041
161	392	2032
162	394	2023
163	395	2014
164	396	2005
165	397	1996
166	398	1987
167	401	1987
168	402	1980
169	404	1972
170	405	1964
171	406	1955
172	407	1947
173	408	1939
174	409	1930
175	410	1922
176	411	1914
177	412	1906
178	413	1898
179	417	1902
180	418	1894
181	419	1887
182	420	1879
183	422	1871
184	423	1864
185	424	1856
186	425	1849
187	426	1842
188	427	1834
189	428	1827
190	431	1829
191	433	1824
192	436	1823
193	437	1817
194	438	1810
195	440	1806
196	441	1800
197	443	1794
198	444	1788
199	448	1794
200	450	1791
201	452	1787
202	454	1784
203	457	1784
204	459	1781
205	466	1797
206	469	1799
207	471	1794
208	472	1789
209	474	1785
210	477	1785
211	479	1781
212	481	1777
213	482	1772
214	484	1767
215	485	1762
216	487	1757
217	488	1752
218	490	1748
219	495	1755
220	497	1752
221	498	1747
222	500	1742
223	501	1736
224	502	1730
225	503	1725
226	504	1719
227	506	1713
228	509	1715
229	511	1711
230	512	1707
231	514	1703
232	516	1700
233	517	1695
234	519	1690
235	520	1684
236	521	1679
237	525	1682
238	526	1677
239	528	1673
240	530	1669
241	531	1664
242	532	1659
243	533	1654
244	535	1649
245	536	1644
246	540	1648
247	543	1646
248	544	1642
249	545	1637
250	547	1632
251	548	1627
252	549	1622
253	550	1617
254	551	1612
255	557	1620
256	559	1617
257	561	1613
258	562	1608
259	563	1603
260	564	1599
261	566	1594
262	567	1590
263	572	1594
264	573	1591
265	575	1589
266	577	1584
267	578	1580
268	579	1575
269	581	1570
270	582	1566
271	586	1570
272	588	1567
273	590	1564
274	591	1560
275	594	1560
276	596	1555
277	597	1551
278	598	1546
279	603	1551
280	604	1546
281	605	1542
282	607	1537
283	608	1533
284	609	1528
285	610	1524
286	611	1520
287	613	1515
288	617	1518
289	618	1514
290	619	1509
291	620	1505
292	622	1501
293	623	1496
294	624	1491
295	625	1487
296	626	1482
297	627	1478
298	628	1473
299	632	1474
300	633	1471
301	634	1466
302	635	1462
303	637	1458
304	638	1454
305	639	1449
306	640	1445
307	641	1441
308	642	1437
309	643	1432
310	647	1434
311	649	1431
312	650	1427
313	651	1422
314	652	1418
315	653	1414
316	654	1410
317	655	1406
318	656	1402
319	657	1397
320	658	1393
321	662	1394
322	663	1390
323	664	1386
324	665	1382
325	666	1378
326	667	1374
327	668	1370
328	669	1366
329	671	1362
330	672	1358
331	673	1354
332	674	1350
333	677	1351
334	679	1348
335	680	1344
336	681	1340
337	682	1336
338	683	1332
339	684	1329
340	685	1325
341	686	1321
342	687	1317
343	689	1314
344	694	1319
345	696	1316
346	697	1313
347	699	1310
348	701	1307
349	702	1304
350	703	1300
351	704	1297
352	707	1297
353	708	1293
354	710	1290
355	711	1287
356	712	1283
357	713	1280
358	715	1276
359	716	1273
360	717	1270
361	718	1266
362	720	1263
363	723	1264
364	725	1261
365	726	1258
366	727	1254
367	728	1251
368	729	1248
369	730	1244
370	732	1241
371	733	1238
372	734	1235
373	738	1236
374	740	1233
375	741	1230
376	742	1227
377	743	1223
378	745	1220
379	746	1217
380	747	1214
381	748	1211
382	750	1208
383	753	1209
384	755	1206
385	756	1203
386	757	1199
387	758	1196
388	759	1193
389	761	1190
390	762	1187
391	763	1184
392	764	1181
393	766	1178
394	769	1178
395	771	1176
396	772	1172
397	773	1169
398	774	1166
399	775	1163
400	777	1160
401	778	1157
402	779	1154
403	780	1151
404	784	1152
405	785	1149
406	787	1146
407	788	1143
408	789	1140
409	790	1137
410	792	1135
411	793	1132
412	794	1129
413	796	1126
414	799	1127
415	800	1124
416	802	1121
417	803	1118
418	804	1115
419	805	1112
420	806	1109
421	808	1106
422	809	1103
423	810	1100
424	811	1098
425	815	1098
426	816	1096
427	818	1093
428	819	1090
429	820	1087
430	821	1085
431	823	1082
432	824	1079
433	825	1076
434	826	1073
435	830	1074
436	832	1071
437	833	1069
438	834	1066
439	835	1063
440	837	1060
441	838	1058
442	839	1055
443	840	1052
444	841	1050
445	845	1049
446	846	1047
447	847	1044
448	848	1041
449	850	1039
450	851	1036
451	852	1033
452	853	1030
453	854	1028
454	856	1025
455	857	1022
456	861	1023
457	862	1020
458	863	1018
459	864	1015
460	866	1012
461	867	1010
462	868	1007
463	869	1004
464	871	1002
465	872	999
466	876	1000
467	877	997
468	878	995
